"id","attempt_id","medium","method","entry_type","has_documents","suspicious","result","reason","caught","officer_id"
"1","1","water","swimming","illegal","0","0","Caught","Caught during illegal crossing via swimming","1","1"
"2","4","air","plane","legal","1","0","Accepted","Legal entry approved","","4"
"3","3","land","vehicle","legal","1","0","Accepted","Legal entry approved","","3"
"4","5","air","unauthorized plane","illegal","0","1","Caught","Caught during illegal crossing via unauthorized plane","1","1"
"5","2","air","plane","legal","1","0","Accepted","Legal entry approved","","2"
"6","6","air","catapult","illegal","0","0","Caught","Caught during illegal crossing via catapult","1","4"
"7","9","water","swimming","illegal","0","0","Caught","Caught during illegal crossing via swimming","1","2"
"8","7","land","jumping border","illegal","0","0","Caught","Caught during illegal crossing via jumping border","1","3"
"9","10","water","swimming","illegal","0","0","Caught","Caught during illegal crossing via swimming","1","4"
"10","8","land","vehicle","legal","0","0","Rejected","Missing or invalid documents","","1"
"11","12","water","boat","legal","1","0","Accepted","Legal entry approved","","3"
"12","11","land","jumping border","illegal","0","1","Caught","Caught during illegal crossing via jumping border","1","2"
"13","15","air","plane","legal","1","0","Accepted","Legal entry approved","","3"
"14","14","water","swimming","illegal","0","0","Caught","Caught during illegal crossing via swimming","1","1"
"15","16","land","vehicle","legal","1","0","Accepted","Legal entry approved","","2"
"16","13","water","boat","legal","1","1","Accepted","Legal entry approved","","4"
"17","17","water","boat","legal","1","0","Accepted","Legal entry approved","","3"
"18","19","air","plane","legal","1","0","Accepted","Legal entry approved","","2"
"19","20","land","vehicle","legal","1","0","Accepted","Legal entry approved","","4"
"20","18","land","vehicle","legal","1","1","Accepted","Legal entry approved","","1"
"21","21","air","plane","legal","1","0","Accepted","Legal entry approved","","3"
"22","22","air","unauthorized plane","illegal","0","0","Caught","Caught during illegal crossing via unauthorized plane","1","2"
"23","24","water","boat","legal","0","0","Rejected","Missing or invalid documents","","1"
"24","25","air","plane","legal","1","0","Accepted","Legal entry approved","","3"
"25","23","air","unauthorized plane","illegal","0","0","Caught","Caught during illegal crossing via unauthorized plane","1","4"
"26","26","water","boat","legal","1","0","Accepted","Legal entry approved","","2"
"27","27","air","unauthorized plane","illegal","0","0","Caught","Caught during illegal crossing via unauthorized plane","1","1"
"28","28","water","boat","legal","1","0","Accepted","Legal entry approved","","3"
"29","30","water","swimming","illegal","0","0","Caught","Caught during illegal crossing via swimming","1","2"
"30","29","air","catapult","illegal","0","0","Caught","Caught during illegal crossing via catapult","1","4"
"31","32","air","plane","legal","1","0","Accepted","Legal entry approved","","3"
"32","31","water","boat","legal","1","0","Accepted","Legal entry approved","","1"
"33","34","water","boat","legal","1","1","Rejected","Failed security check","","4"
"34","33","air","plane","legal","0","0","Rejected","Missing or invalid documents","","2"
"35","35","land","jumping border","illegal","0","0","Caught","Caught during illegal crossing via jumping border","1","3"
"36","36","water","boat","legal","1","1","Accepted","Legal entry approved","","1"
"37","37","land","vehicle","legal","1","1","Accepted","Legal entry approved","","4"
"38","41","air","catapult","illegal","0","0","Caught","Caught during illegal crossing via catapult","1","4"
"39","38","land","vehicle","legal","1","0","Accepted","Legal entry approved","","2"
"40","40","air","plane","legal","1","0","Accepted","Legal entry approved","","1"
"41","39","land","jumping border","illegal","0","0","Caught","Caught during illegal crossing via jumping border","1","3"
"42","42","land","vehicle","legal","1","0","Accepted","Legal entry approved","","4"
"43","43","air","unauthorized plane","illegal","0","0","Caught","Caught during illegal crossing via unauthorized plane","1","2"
"44","46","water","boat","legal","1","0","Accepted","Legal entry approved","","4"
"45","45","air","plane","legal","1","0","Accepted","Legal entry approved","","3"
"46","44","water","boat","legal","1","0","Accepted","Legal entry approved","","1"
"47","47","water","boat","legal","1","0","Accepted","Legal entry approved","","2"
"48","49","water","boat","legal","1","0","Accepted","Legal entry approved","","3"
"49","48","air","catapult","illegal","0","0","Caught","Caught during illegal crossing via catapult","1","4"
"50","50","water","swimming","illegal","0","0","Caught","Caught during illegal crossing via swimming","1","1"
